Loading files...
200 spam files
200 ham files

50% used for training and 50% used for testing

Splitting data...
200 spam files
200 ham files

Spam: 100 training files and 100 test files
Ham:  100 training files and 100 test files

Making Suffix Tree...

Testing Data...
testing spam 100

testing ham 100

Done!!!


Stats:
TH       SS       SH       HS       HH       Accuracy TPR      FPR      TNR      FNR
0.93     72       28       5        95       0.835    0.720    0.050    0.950    0.280    
0.94     73       27       5        95       0.840    0.730    0.050    0.950    0.270    
0.95     75       25       5        95       0.850    0.750    0.050    0.950    0.250    
0.96     79       21       5        95       0.870    0.790    0.050    0.950    0.210    
0.97     81       19       5        95       0.880    0.810    0.050    0.950    0.190    
0.98     83       17       6        94       0.885    0.830    0.060    0.940    0.170    
0.99     86       14       7        93       0.895    0.860    0.070    0.930    0.140    
1.00     89       11       8        92       0.905    0.890    0.080    0.920    0.110    
1.01     89       11       8        92       0.905    0.890    0.080    0.920    0.110    
1.02     90       10       10       90       0.900    0.900    0.100    0.900    0.100    
1.03     91       9        10       90       0.905    0.910    0.100    0.900    0.090    
1.04     91       9        11       89       0.900    0.910    0.110    0.890    0.090    
1.05     91       9        11       89       0.900    0.910    0.110    0.890    0.090    
1.06     93       7        12       88       0.905    0.930    0.120    0.880    0.070    
1.07     93       7        14       86       0.895    0.930    0.140    0.860    0.070    
1.08     95       5        15       85       0.900    0.950    0.150    0.850    0.050    
1.09     97       3        17       83       0.900    0.970    0.170    0.830    0.030    
1.10     97       3        17       83       0.900    0.970    0.170    0.830    0.030    
1.11     98       2        17       83       0.905    0.980    0.170    0.830    0.020    
1.12     98       2        17       83       0.905    0.980    0.170    0.830    0.020    
1.13     99       1        18       82       0.905    0.990    0.180    0.820    0.010    
1.14     99       1        19       81       0.900    0.990    0.190    0.810    0.010    
1.15     99       1        19       81       0.900    0.990    0.190    0.810    0.010    
1.16     99       1        20       80       0.895    0.990    0.200    0.800    0.010    
1.17     100      0        24       76       0.880    1.000    0.240    0.760    0.000    
1.18     100      0        27       73       0.865    1.000    0.270    0.730    0.000    
1.19     100      0        29       71       0.855    1.000    0.290    0.710    0.000    
1.20     100      0        30       70       0.850    1.000    0.300    0.700    0.000    
1.21     100      0        31       69       0.845    1.000    0.310    0.690    0.000    
1.22     100      0        32       68       0.840    1.000    0.320    0.680    0.000    
1.23     100      0        36       64       0.820    1.000    0.360    0.640    0.000    
1.24     100      0        38       62       0.810    1.000    0.380    0.620    0.000    
1.25     100      0        41       59       0.795    1.000    0.410    0.590    0.000    
1.26     100      0        41       59       0.795    1.000    0.410    0.590    0.000    
1.27     100      0        42       58       0.790    1.000    0.420    0.580    0.000    
1.28     100      0        43       57       0.785    1.000    0.430    0.570    0.000    
1.29     100      0        44       56       0.780    1.000    0.440    0.560    0.000    
1.30     100      0        46       54       0.770    1.000    0.460    0.540    0.000    
1.31     100      0        47       53       0.765    1.000    0.470    0.530    0.000    
1.32     100      0        49       51       0.755    1.000    0.490    0.510    0.000    
1.33     100      0        51       49       0.745    1.000    0.510    0.490    0.000    
1.34     100      0        56       44       0.720    1.000    0.560    0.440    0.000    
1.35     100      0        60       40       0.700    1.000    0.600    0.400    0.000    
1.36     100      0        63       37       0.685    1.000    0.630    0.370    0.000    
1.37     100      0        66       34       0.670    1.000    0.660    0.340    0.000    
1.38     100      0        68       32       0.660    1.000    0.680    0.320    0.000    
1.39     100      0        69       31       0.655    1.000    0.690    0.310    0.000    
1.40     100      0        73       27       0.635    1.000    0.730    0.270    0.000    
1.41     100      0        75       25       0.625    1.000    0.750    0.250    0.000    
1.42     100      0        75       25       0.625    1.000    0.750    0.250    0.000    
1.43     100      0        75       25       0.625    1.000    0.750    0.250    0.000    
1.44     100      0        77       23       0.615    1.000    0.770    0.230    0.000    
1.45     100      0        77       23       0.615    1.000    0.770    0.230    0.000    
1.46     100      0        77       23       0.615    1.000    0.770    0.230    0.000    
1.47     100      0        77       23       0.615    1.000    0.770    0.230    0.000    
1.48     100      0        78       22       0.610    1.000    0.780    0.220    0.000    
1.49     100      0        79       21       0.605    1.000    0.790    0.210    0.000    
1.50     100      0        80       20       0.600    1.000    0.800    0.200    0.000    
1.51     100      0        80       20       0.600    1.000    0.800    0.200    0.000    
1.52     100      0        81       19       0.595    1.000    0.810    0.190    0.000    
1.53     100      0        81       19       0.595    1.000    0.810    0.190    0.000    
